equipment_id,equipment_name,equipment_type,plant_code,work_center,manufacturer,acquisition_date,theoretical_capacity_hour,installation_status
EQ-P01-0023,X-Ray Inspector 4,X-Ray,P01,WC-XRY-01,Viscom,2021-08-21,221,Active
EQ-P01-0024,Reflow Oven H,Reflow,P01,WC-RFL-02,Rehm,2023-08-05,66,Active
EQ-P01-0025,X-Ray Inspector Alpha,X-Ray,P01,WC-XRY-01,Creative Electron,2025-04-26,231,Active
EQ-P01-0026,P&P Unit Epsilon,Pick and Place,P01,WC-PPL-01,Yamaha,2020-05-07,110,Active
EQ-P01-0027,Reflow System H,Reflow,P01,WC-RFL-01,Heller Industries,2017-04-25,171,Active
EQ-P01-0028,Placement Machine II,Pick and Place,P01,WC-PPL-01,Yamaha,2022-02-20,158,Active
EQ-P01-0029,Assembly Station 6,SMT Assembly,P01,WC-SMT-01,Fuji Corporation,2017-02-18,77,Active
EQ-P01-0030,Pick and Place II,Pick and Place,P01,WC-PPL-02,Samsung,2024-01-21,121,Active
EQ-P01-0031,Solder Station Max,Soldering,P01,WC-SOL-01,Ersa,2016-09-26,53,Maintenance
EQ-P01-0032,P&P Unit V,Pick and Place,P01,WC-PPL-02,Fuji Corporation,2023-09-19,152,Maintenance
EQ-P01-0033,ICT Tester 1,Test Station,P01,WC-TST-01,Nikon Metrology,2017-04-27,250,Active
EQ-P01-0034,Stencil Printer E,Printing,P01,WC-PRT-02,ASM,2022-10-14,105,Maintenance
EQ-P01-0035,X-Ray System Delta,X-Ray,P01,WC-XRY-01,Creative Electron,2025-07-20,199,Active
EQ-P01-0036,Wave Solder D,Wave Solder,P01,WC-WSL-01,Pillarhouse,2025-05-06,202,Active
EQ-P01-0037,Placement Machine H,Pick and Place,P01,WC-PPL-01,Assembleon,2019-08-15,202,Active
EQ-P01-0038,Wave Solder F,Soldering,P01,WC-SOL-02,Ersa,2018-08-08,233,Active
EQ-P01-0039,Vision Inspector 4,Inspection,P01,WC-INS-01,Saki,2020-12-26,130,Maintenance
EQ-P01-0040,Selective Solder Eta,Soldering,P01,WC-SOL-02,BTU International,2025-04-16,187,Active
EQ-P01-0041,AOI Inspector H,Inspection,P01,WC-INS-02,Nordson,2021-12-20,122,Active
EQ-P01-0042,Wave System Eta,Wave Solder,P01,WC-WSL-01,Ersa,2016-04-07,84,Active
EQ-P01-0043,Wave Solder 3,Soldering,P01,WC-SOL-01,Nordson,2019-05-01,103,Active
EQ-P01-0044,P&P Unit Delta,Pick and Place,P01,WC-PPL-02,Juki,2025-01-28,212,Active
EQ-P01-0045,SPI System A,Inspection,P01,WC-INS-01,Koh Young,2018-12-20,117,Active
EQ-P01-0046,Reflow Oven Theta,Reflow,P01,WC-RFL-02,Rehm,2025-04-08,226,Maintenance
EQ-P01-0047,Wave Solder II,Wave Solder,P01,WC-WSL-01,Heller Industries,2024-09-06,60,Active
EQ-P01-0048,SMT Cell H,SMT Assembly,P01,WC-SMT-01,Yamaha,2018-08-20,76,Active
EQ-P01-0049,Wave Solder C,Wave Solder,P01,WC-WSL-01,Seho,2017-02-21,95,Active
EQ-P01-0050,Assembly Station I,SMT Assembly,P01,WC-SMT-03,Panasonic,2017-02-12,221,Active
EQ-P01-0051,Placement Machine Eta,Pick and Place,P01,WC-PPL-01,Juki,2021-10-28,59,Active
EQ-P01-0052,P&P Unit 4,Pick and Place,P01,WC-PPL-02,Fuji Corporation,2016-11-29,108,Active
EQ-P01-0053,P&P Unit Epsilon,Pick and Place,P01,WC-PPL-02,Assembleon,2017-06-10,121,Active
EQ-P01-0054,Wave Solder Theta,Wave Solder,P01,WC-WSL-01,Seho,2016-04-11,116,Active
EQ-P01-0055,Vision Inspector II,Inspection,P01,WC-INS-01,Koh Young,2022-03-28,236,Active
EQ-P01-0056,Paste Printer E,Printing,P01,WC-PRT-01,ASM,2023-04-04,61,Active
EQ-P01-0057,SMT Cell E,SMT Assembly,P01,WC-SMT-03,Assembleon,2022-01-11,160,Active
EQ-P01-0058,Coating Station 4,Coating,P01,WC-COT-01,Speedline,2020-06-04,129,Active
EQ-P01-0059,Coating Station E,Coating,P01,WC-COT-01,Precision Valve,2021-05-25,220,Maintenance
EQ-P01-0060,ICT Tester Ultra,Test Station,P01,WC-TST-02,Thermotron,2016-10-06,50,Active
EQ-P01-0061,P&P Unit III,Pick and Place,P01,WC-PPL-02,Assembleon,2021-02-25,222,Active
EQ-P01-0062,Reflow System Plus,Reflow,P01,WC-RFL-01,Heller Industries,2018-09-01,212,Active
EQ-P01-0063,Solder Station E,Soldering,P01,WC-SOL-02,Heller Industries,2024-06-17,56,Active
EQ-P01-0064,Reflow System I,Reflow,P01,WC-RFL-01,Rehm,2016-03-05,211,Active
EQ-P01-0065,Stencil Printer B,Printing,P01,WC-PRT-02,Speedline,2018-10-03,226,Active
EQ-P01-0066,Solder Station Pro,Soldering,P01,WC-SOL-01,Ersa,2020-11-26,62,Active
EQ-P01-0067,Wave Solder Pro,Soldering,P01,WC-SOL-01,Ersa,2019-11-05,202,Active
EQ-P01-0068,Reflow System C,Reflow,P01,WC-RFL-02,Rehm,2017-10-09,171,Active
EQ-P01-0069,Placement Machine H,Pick and Place,P01,WC-PPL-02,Juki,2023-01-13,162,Active
EQ-P01-0070,SPI System 5,Inspection,P01,WC-INS-02,Nordson,2020-01-21,70,Active
EQ-P01-0071,Placement Machine F,Pick and Place,P01,WC-PPL-01,Assembleon,2025-05-23,156,Active
EQ-P01-0072,Wave Solder F,Wave Solder,P01,WC-WSL-01,Seho,2016-10-09,157,Active
EQ-P01-0073,X-Ray System Alpha,X-Ray,P01,WC-XRY-01,Nikon Metrology,2022-03-03,126,Active
EQ-P01-0074,Paste Printer G,Printing,P01,WC-PRT-01,ASM,2023-01-20,161,Active
EQ-P01-0075,Stencil Printer IV,Printing,P01,WC-PRT-02,MPM,2024-09-06,209,Active
EQ-P01-0076,Stencil Printer II,Printing,P01,WC-PRT-01,ASM,2024-08-04,168,Active
EQ-P01-0077,AOI Inspector IV,Inspection,P01,WC-INS-02,Saki,2022-06-13,136,Active
EQ-P01-0078,Paste Printer Zeta,Printing,P01,WC-PRT-02,MPM,2020-11-02,54,Active
EQ-P01-0079,SMT Cell Epsilon,SMT Assembly,P01,WC-SMT-01,Yamaha,2017-05-09,216,Active
EQ-P01-0080,SMT Line B,SMT Assembly,P01,WC-SMT-01,Panasonic,2023-06-09,82,Active
EQ-P01-0081,Wave Solder 1,Soldering,P01,WC-SOL-01,Nordson,2017-07-06,144,Active
EQ-P01-0082,X-Ray System Eta,X-Ray,P01,WC-XRY-01,Nikon Metrology,2019-08-16,56,Maintenance
EQ-P01-0083,X-Ray Inspector Epsilon,X-Ray,P01,WC-XRY-01,Viscom,2019-06-22,226,Active
EQ-P01-0084,Placement Machine Theta,Pick and Place,P01,WC-PPL-02,Yamaha,2017-03-08,194,Active
EQ-P01-0085,Conformal Coater Epsilon,Coating,P01,WC-COT-01,Speedline,2020-06-09,215,Active
EQ-P01-0086,Paste Printer 8,Printing,P01,WC-PRT-01,Speedline,2018-12-26,167,Active
EQ-P01-0087,Paste Printer IV,Printing,P01,WC-PRT-02,Ekra,2021-03-24,237,Active
EQ-P01-0088,Conformal Coater III,Coating,P01,WC-COT-01,Asymtek,2023-05-19,242,Active
EQ-P01-0089,X-Ray Inspector Prime,X-Ray,P01,WC-XRY-01,Viscom,2016-07-27,133,Active
EQ-P01-0090,P&P Unit 2,Pick and Place,P01,WC-PPL-02,Juki,2016-03-29,202,Active
EQ-P01-0091,Vision Inspector E,Inspection,P01,WC-INS-01,Viscom,2025-02-25,111,Active
EQ-P01-0092,Reflow System Prime,Reflow,P01,WC-RFL-01,Rehm,2021-02-01,54,Active
EQ-P01-0093,P&P Unit 8,Pick and Place,P01,WC-PPL-01,Assembleon,2020-10-21,191,Active
EQ-P01-0094,Paste Printer IV,Printing,P01,WC-PRT-02,ASM,2023-01-28,128,Active
EQ-P01-0095,Solder Station Max,Soldering,P01,WC-SOL-02,Heller Industries,2017-07-26,226,Active
EQ-P01-0096,Placement Machine Pro,Pick and Place,P01,WC-PPL-02,Assembleon,2019-06-03,122,Maintenance
EQ-P01-0097,P&P Unit D,Pick and Place,P01,WC-PPL-01,Juki,2022-09-21,53,Active
EQ-P01-0098,Test Bench Ultra,Test Station,P01,WC-TST-01,National Instruments,2022-11-02,228,Maintenance
EQ-P01-0099,Reflow System V,Reflow,P01,WC-RFL-01,BTU International,2020-09-29,162,Active
EQ-P01-0100,SMT Line Epsilon,SMT Assembly,P01,WC-SMT-02,Yamaha,2021-08-14,175,Active
EQ-P01-0101,SMT Cell 4,SMT Assembly,P01,WC-SMT-01,Panasonic,2025-02-27,113,Active
EQ-P01-0102,Paste Printer III,Printing,P01,WC-PRT-01,ASM,2021-02-23,126,Active
EQ-P01-0103,Stencil Printer F,Printing,P01,WC-PRT-01,MPM,2019-02-05,104,Active
EQ-P01-0104,Solder Station Ultra,Soldering,P01,WC-SOL-01,Heller Industries,2025-04-09,90,Active
EQ-P01-0105,Reflow System Gamma,Reflow,P01,WC-RFL-02,Rehm,2023-07-08,123,Active
EQ-P01-0106,Reflow System E,Reflow,P01,WC-RFL-01,BTU International,2021-05-06,79,Active
EQ-P01-0107,Test Bench Delta,Test Station,P01,WC-TST-01,National Instruments,2024-04-02,128,Active
EQ-P01-0108,X-Ray Inspector IV,X-Ray,P01,WC-XRY-01,Nordson,2018-05-23,127,Active
EQ-P01-0109,SPI System Zeta,Inspection,P01,WC-INS-02,Viscom,2019-05-29,60,Active
EQ-P01-0110,Coating Station Zeta,Coating,P01,WC-COT-01,Speedline,2023-07-19,222,Active
EQ-P01-0111,X-Ray System Gamma,X-Ray,P01,WC-XRY-01,Creative Electron,2017-07-22,243,Active
EQ-P01-0112,Wave Solder II,Wave Solder,P01,WC-WSL-01,Seho,2018-12-29,175,Maintenance
EQ-P01-0113,Reflow System 5,Reflow,P01,WC-RFL-02,Vitronics Soltec,2018-08-07,76,Active
EQ-P01-0114,Conformal Coater 10,Coating,P01,WC-COT-01,Precision Valve,2016-12-27,244,Active
EQ-P01-0115,Reflow System 5,Reflow,P01,WC-RFL-02,BTU International,2024-10-24,247,Active
EQ-P01-0116,Wave System Delta,Wave Solder,P01,WC-WSL-01,Heller Industries,2024-01-04,182,Active
EQ-P01-0117,Reflow Oven 2,Reflow,P01,WC-RFL-01,Ersa,2019-12-15,83,Maintenance
EQ-P01-0118,Reflow Oven H,Reflow,P01,WC-RFL-01,Ersa,2018-02-25,90,Active
EQ-P01-0119,SMT Line G,SMT Assembly,P01,WC-SMT-02,Assembleon,2016-09-04,79,Active
EQ-P01-0120,Selective Solder 3,Soldering,P01,WC-SOL-02,Heller Industries,2020-05-28,230,Active
EQ-P01-0121,Reflow System Ultra,Reflow,P01,WC-RFL-01,Ersa,2024-06-28,148,Active
EQ-P01-0122,X-Ray Inspector 2,X-Ray,P01,WC-XRY-01,Creative Electron,2017-06-13,156,Active
EQ-P01-0123,Wave System 4,Wave Solder,P01,WC-WSL-01,Ersa,2016-09-20,200,Active
EQ-P01-0124,Reflow System 7,Reflow,P01,WC-RFL-02,Heller Industries,2022-05-21,191,Active
EQ-P01-0125,Stencil Printer H,Printing,P01,WC-PRT-02,Speedline,2019-09-13,148,Active
EQ-P02-0126,Paste Printer 9,Printing,P02,WC-PRT-02,DEK,2021-10-13,219,Active
EQ-P02-0127,Functional Tester Plus,Test Station,P02,WC-TST-01,Nikon Metrology,2019-06-30,134,Active
EQ-P02-0128,Reflow Oven B,Reflow,P02,WC-RFL-02,BTU International,2021-07-07,217,Maintenance
EQ-P02-0129,Wave Solder 10,Soldering,P02,WC-SOL-02,Ersa,2018-10-29,70,Active
EQ-P02-0130,Wave System Max,Wave Solder,P02,WC-WSL-01,Seho,2025-09-16,208,Active
EQ-P02-0131,SPI System Eta,Inspection,P02,WC-INS-01,Nordson,2017-08-02,212,Active
EQ-P02-0132,Selective Solder 4,Soldering,P02,WC-SOL-01,Ersa,2025-10-15,61,Active
EQ-P02-0133,Assembly Station II,SMT Assembly,P02,WC-SMT-02,Yamaha,2024-06-24,112,Active
EQ-P02-0134,X-Ray Inspector Zeta,X-Ray,P02,WC-XRY-01,Dage,2019-04-12,147,Active
EQ-P02-0135,Pick and Place IV,Pick and Place,P02,WC-PPL-01,Assembleon,2018-12-17,115,Active
EQ-P02-0136,SMT Cell Max,SMT Assembly,P02,WC-SMT-02,Juki,2024-05-04,68,Active
EQ-P02-0137,Conformal Coater 1,Coating,P02,WC-COT-01,Speedline,2020-12-27,127,Active
EQ-P02-0138,Stencil Printer 9,Printing,P02,WC-PRT-01,Speedline,2019-09-13,141,Active
EQ-P02-0139,SPI System Alpha,Inspection,P02,WC-INS-02,Koh Young,2019-10-07,225,Active
EQ-P02-0140,Assembly Station 3,SMT Assembly,P02,WC-SMT-03,Assembleon,2017-05-31,108,Active
EQ-P02-0141,Conformal Coater A,Coating,P02,WC-COT-01,Asymtek,2019-01-25,74,Maintenance
EQ-P02-0142,SMT Line 8,SMT Assembly,P02,WC-SMT-02,Yamaha,2017-11-25,83,Active
EQ-P02-0143,AOI Inspector E,Inspection,P02,WC-INS-02,Omron,2024-08-18,188,Active
EQ-P02-0144,Coating Station 1,Coating,P02,WC-COT-01,Speedline,2016-11-12,173,Maintenance
EQ-P02-0145,SPI System Epsilon,Inspection,P02,WC-INS-01,Omron,2024-07-14,243,Maintenance
EQ-P02-0146,Stencil Printer 10,Printing,P02,WC-PRT-02,ASM,2025-12-15,117,Active
EQ-P02-0147,Reflow System 8,Reflow,P02,WC-RFL-02,Vitronics Soltec,2024-11-24,222,Active
EQ-P02-0148,Assembly Station G,SMT Assembly,P02,WC-SMT-03,Assembleon,2018-11-07,66,Active
EQ-P02-0149,Reflow Oven A,Reflow,P02,WC-RFL-02,Vitronics Soltec,2025-08-09,59,Active
EQ-P02-0150,Reflow Oven Max,Reflow,P02,WC-RFL-01,BTU International,2024-08-04,149,Active
EQ-P02-0151,Wave System Eta,Wave Solder,P02,WC-WSL-01,Seho,2016-10-06,175,Active
EQ-P02-0152,AOI Inspector III,Inspection,P02,WC-INS-02,Koh Young,2021-02-15,110,Active
EQ-P02-0153,Solder Station 10,Soldering,P02,WC-SOL-02,Pillarhouse,2023-01-07,98,Maintenance
EQ-P02-0154,Reflow Oven Delta,Reflow,P02,WC-RFL-01,BTU International,2017-04-16,135,Active
EQ-P02-0155,Test Bench Ultra,Test Station,P02,WC-TST-01,Thermotron,2023-10-16,200,Active
EQ-P02-0156,Placement Machine Alpha,Pick and Place,P02,WC-PPL-01,Juki,2023-01-02,87,Maintenance
EQ-P02-0157,Wave Solder Beta,Wave Solder,P02,WC-WSL-01,Ersa,2024-08-20,53,Active
EQ-P02-0158,Pick and Place D,Pick and Place,P02,WC-PPL-02,Samsung,2023-02-20,63,Active
EQ-P02-0159,Stencil Printer V,Printing,P02,WC-PRT-01,ASM,2021-01-31,249,Active
EQ-P02-0160,X-Ray Inspector Gamma,X-Ray,P02,WC-XRY-01,Nikon Metrology,2017-12-16,250,Maintenance
EQ-P02-0161,Wave Solder Delta,Wave Solder,P02,WC-WSL-01,Ersa,2020-09-28,152,Active
EQ-P02-0162,Solder Station Zeta,Soldering,P02,WC-SOL-02,Ersa,2022-07-02,205,Active
EQ-P02-0163,ICT Tester Pro,Test Station,P02,WC-TST-02,National Instruments,2022-10-22,166,Active
EQ-P02-0164,Stencil Printer II,Printing,P02,WC-PRT-01,DEK,2021-01-18,108,Active
EQ-P02-0165,Reflow Oven 5,Reflow,P02,WC-RFL-02,Ersa,2021-04-29,130,Active
EQ-P02-0166,Coating Station Zeta,Coating,P02,WC-COT-01,Asymtek,2016-10-14,71,Active
EQ-P02-0167,Selective Solder Delta,Soldering,P02,WC-SOL-01,Pillarhouse,2019-07-15,193,Active
EQ-P02-0168,Selective Solder II,Soldering,P02,WC-SOL-02,Ersa,2016-05-18,234,Active
EQ-P02-0169,SPI System Eta,Inspection,P02,WC-INS-02,Viscom,2019-08-19,179,Active
EQ-P02-0170,Reflow System Ultra,Reflow,P02,WC-RFL-01,Heller Industries,2021-12-28,79,Active
EQ-P02-0171,X-Ray Inspector 2,X-Ray,P02,WC-XRY-01,Dage,2025-10-15,96,Active
EQ-P02-0172,AOI Inspector D,Inspection,P02,WC-INS-02,Omron,2016-05-11,86,Active
EQ-P02-0173,Stencil Printer Zeta,Printing,P02,WC-PRT-01,DEK,2017-09-29,185,Active
EQ-P02-0174,Stencil Printer 8,Printing,P02,WC-PRT-02,Speedline,2022-08-14,234,Active
EQ-P02-0175,X-Ray Inspector B,X-Ray,P02,WC-XRY-01,Creative Electron,2024-05-07,243,Active
EQ-P02-0176,Selective Solder II,Soldering,P02,WC-SOL-02,Pillarhouse,2020-08-31,205,Active
EQ-P02-0177,SPI System II,Inspection,P02,WC-INS-01,Nordson,2024-11-13,122,Active
EQ-P02-0178,X-Ray Inspector G,X-Ray,P02,WC-XRY-01,Viscom,2021-09-06,203,Active
EQ-P02-0179,Pick and Place 1,Pick and Place,P02,WC-PPL-01,Juki,2022-11-13,133,Active
EQ-P02-0180,Reflow Oven 9,Reflow,P02,WC-RFL-01,Ersa,2020-02-21,230,Active
EQ-P02-0181,Wave System Gamma,Wave Solder,P02,WC-WSL-01,Ersa,2021-03-22,54,Active
EQ-P02-0182,Selective Solder 10,Soldering,P02,WC-SOL-02,Pillarhouse,2018-02-26,213,Active
EQ-P02-0183,Wave Solder C,Soldering,P02,WC-SOL-01,Ersa,2017-02-15,208,Active
EQ-P02-0184,Coating Station H,Coating,P02,WC-COT-01,Nordson,2021-03-24,200,Active
EQ-P02-0185,Selective Solder 6,Soldering,P02,WC-SOL-02,Ersa,2023-08-18,135,Active
EQ-P02-0186,Selective Solder Plus,Soldering,P02,WC-SOL-01,Nordson,2023-12-09,248,Active
EQ-P02-0187,Functional Tester 1,Test Station,P02,WC-TST-01,Koh Young,2023-11-25,94,Active
EQ-P02-0188,Wave Solder III,Soldering,P02,WC-SOL-02,Heller Industries,2018-06-23,194,Active
EQ-P02-0189,X-Ray Inspector III,X-Ray,P02,WC-XRY-01,Nordson,2025-05-07,170,Active
EQ-P02-0190,SPI System Plus,Inspection,P02,WC-INS-01,Omron,2025-04-13,129,Active
EQ-P02-0191,Assembly Station Epsilon,SMT Assembly,P02,WC-SMT-02,Fuji Corporation,2018-11-19,73,Active
EQ-P02-0192,Wave Solder III,Wave Solder,P02,WC-WSL-01,Seho,2017-01-11,196,Active
EQ-P02-0193,Coating Station Delta,Coating,P02,WC-COT-01,Speedline,2021-01-22,76,Active
EQ-P02-0194,Coating Station H,Coating,P02,WC-COT-01,Nordson,2018-03-06,162,Maintenance
EQ-P02-0195,Wave System 8,Wave Solder,P02,WC-WSL-01,Nordson,2022-12-10,149,Active
EQ-P02-0196,Conformal Coater Epsilon,Coating,P02,WC-COT-01,Speedline,2022-06-01,74,Active
EQ-P02-0197,Stencil Printer 6,Printing,P02,WC-PRT-02,MPM,2025-03-14,199,Active
EQ-P02-0198,Coating Station Zeta,Coating,P02,WC-COT-01,GPD Global,2022-08-22,193,Active
EQ-P02-0199,Conformal Coater Plus,Coating,P02,WC-COT-01,Asymtek,2022-01-20,54,Active
EQ-P02-0200,ICT Tester E,Test Station,P02,WC-TST-02,Koh Young,2023-07-29,85,Active
EQ-P02-0201,Vision Inspector 6,Inspection,P02,WC-INS-01,Koh Young,2016-04-14,246,Active
EQ-P02-0202,X-Ray Inspector D,X-Ray,P02,WC-XRY-01,Viscom,2016-10-15,227,Active
EQ-P02-0203,ICT Tester 8,Test Station,P02,WC-TST-01,Nikon Metrology,2018-07-12,234,Active
EQ-P02-0204,Reflow System G,Reflow,P02,WC-RFL-02,Rehm,2020-02-15,111,Active
EQ-P02-0205,Reflow System IV,Reflow,P02,WC-RFL-02,Heller Industries,2017-06-26,122,Active
EQ-P02-0206,Wave Solder E,Wave Solder,P02,WC-WSL-01,Nordson,2017-02-16,204,Active
EQ-P02-0207,SPI System Ultra,Inspection,P02,WC-INS-02,Koh Young,2024-12-17,232,Active
EQ-P02-0208,Solder Station 2,Soldering,P02,WC-SOL-01,Pillarhouse,2021-01-27,181,Active
EQ-P02-0209,Paste Printer 7,Printing,P02,WC-PRT-01,DEK,2025-10-24,156,Active
EQ-P02-0210,Wave System Zeta,Wave Solder,P02,WC-WSL-01,Ersa,2021-11-28,107,Active
EQ-P02-0211,Solder Station Gamma,Soldering,P02,WC-SOL-01,Pillarhouse,2022-11-23,170,Active
EQ-P02-0212,Test Bench Zeta,Test Station,P02,WC-TST-02,Nikon Metrology,2025-11-25,115,Active
EQ-P02-0213,Test Bench 3,Test Station,P02,WC-TST-02,Thermotron,2023-06-13,127,Active
EQ-P02-0214,Pick and Place Theta,Pick and Place,P02,WC-PPL-02,Assembleon,2016-09-23,177,Active
EQ-P02-0215,SMT Line B,SMT Assembly,P02,WC-SMT-03,Assembleon,2022-11-05,159,Active
EQ-P02-0216,Coating Station Zeta,Coating,P02,WC-COT-01,Asymtek,2020-03-29,142,Active
EQ-P02-0217,Wave System V,Wave Solder,P02,WC-WSL-01,Nordson,2025-08-16,212,Active
EQ-P02-0218,Conformal Coater Epsilon,Coating,P02,WC-COT-01,GPD Global,2022-03-31,111,Active
EQ-P02-0219,Solder Station Gamma,Soldering,P02,WC-SOL-02,Nordson,2022-02-28,189,Active
EQ-P02-0220,Functional Tester A,Test Station,P02,WC-TST-02,Nikon Metrology,2025-05-28,233,Active
EQ-P02-0221,Reflow Oven Gamma,Reflow,P02,WC-RFL-02,BTU International,2017-03-29,101,Active
EQ-P02-0222,Conformal Coater 1,Coating,P02,WC-COT-01,GPD Global,2025-09-14,242,Active
EQ-P02-0223,Vision Inspector 6,Inspection,P02,WC-INS-01,Omron,2023-01-18,81,Active
EQ-P02-0224,Paste Printer 6,Printing,P02,WC-PRT-02,Speedline,2024-01-07,177,Active
EQ-P02-0225,Coating Station II,Coating,P02,WC-COT-01,Speedline,2025-03-24,160,Active
EQ-P02-0226,AOI Inspector Eta,Test Station,P02,WC-TST-02,Thermotron,2025-03-20,133,Active
EQ-P02-0227,AOI Inspector III,Inspection,P02,WC-INS-02,Saki,2022-03-04,164,Active
EQ-P02-0228,Conformal Coater Delta,Coating,P02,WC-COT-01,Speedline,2025-04-09,221,Active
EQ-P02-0229,Coating Station B,Coating,P02,WC-COT-01,Speedline,2016-08-05,205,Active
EQ-P02-0230,Reflow Oven H,Reflow,P02,WC-RFL-01,BTU International,2017-05-20,215,Active
EQ-P02-0231,Stencil Printer III,Printing,P02,WC-PRT-01,ASM,2021-12-14,145,Active
EQ-P02-0232,Selective Solder 8,Soldering,P02,WC-SOL-01,Nordson,2021-08-25,130,Active
EQ-P02-0233,Placement Machine D,Pick and Place,P02,WC-PPL-01,Yamaha,2020-07-07,182,Active
EQ-P02-0234,Wave System III,Wave Solder,P02,WC-WSL-01,Heller Industries,2023-09-16,206,Active
EQ-P02-0235,Reflow Oven Epsilon,Reflow,P02,WC-RFL-01,Heller Industries,2021-01-16,94,Active
EQ-P02-0236,Reflow System Epsilon,Reflow,P02,WC-RFL-02,BTU International,2019-12-12,188,Active
EQ-P02-0237,SPI System Plus,Inspection,P02,WC-INS-01,Nordson,2023-08-07,81,Maintenance
EQ-P02-0238,Test Bench 8,Test Station,P02,WC-TST-02,Koh Young,2019-11-25,196,Active
EQ-P02-0239,Wave Solder 4,Wave Solder,P02,WC-WSL-01,Pillarhouse,2021-08-25,233,Active
EQ-P02-0240,Wave Solder A,Wave Solder,P02,WC-WSL-01,Seho,2022-07-23,214,Active
EQ-P02-0241,Reflow Oven Ultra,Reflow,P02,WC-RFL-02,Rehm,2018-12-09,200,Active
EQ-P02-0242,Test Bench Pro,Test Station,P02,WC-TST-01,Nikon Metrology,2024-05-25,127,Active
EQ-P02-0243,Conformal Coater Zeta,Coating,P02,WC-COT-01,Asymtek,2023-04-21,100,Active
EQ-P02-0244,Wave System Max,Wave Solder,P02,WC-WSL-01,Ersa,2025-01-24,178,Active
EQ-P02-0245,X-Ray Inspector 6,X-Ray,P02,WC-XRY-01,Creative Electron,2016-08-30,194,Active
EQ-P02-0246,SMT Cell 1,SMT Assembly,P02,WC-SMT-01,Fuji Corporation,2018-10-23,103,Active
EQ-P02-0247,Paste Printer Max,Printing,P02,WC-PRT-01,ASM,2022-11-12,214,Maintenance
EQ-P02-0248,Reflow System IV,Reflow,P02,WC-RFL-02,Heller Industries,2025-04-18,226,Active
EQ-P02-0249,Reflow System F,Reflow,P02,WC-RFL-02,Ersa,2022-04-19,205,Active
EQ-P02-0250,Coating Station 8,Coating,P02,WC-COT-01,GPD Global,2020-05-03,193,Active
EQ-P03-0251,P&P Unit III,Pick and Place,P03,WC-PPL-01,Assembleon,2023-05-02,86,Active
EQ-P03-0252,AOI Inspector C,Inspection,P03,WC-INS-02,Saki,2016-12-27,133,Maintenance
EQ-P03-0253,Conformal Coater Plus,Coating,P03,WC-COT-01,Asymtek,2020-11-16,177,Active
EQ-P03-0254,Reflow System Plus,Reflow,P03,WC-RFL-01,BTU International,2020-12-26,111,Active
EQ-P03-0255,Conformal Coater Prime,Coating,P03,WC-COT-01,Nordson,2019-05-31,217,Active
